id,premises,paragraph,conclusion,question,label,arg,statements,depth
764,"['Either one or both of these statements are true: either managers have (part) nuclei or mouths are part of bells, or southern flounder is a flatfish.', 'If either managers have (part) nuclei or mouths are part of bells, then flowers are alive even when excised from the mother plant.', 'One may reasonably assume that if southern flounder is a flatfish, then flowers are alive even when excised from the mother plant.']","Either one or both of these statements are true: either managers have (part) nuclei or mouths are part of bells, or southern flounder is a flatfish. If either managers have (part) nuclei or mouths are part of bells, then flowers are alive even when excised from the mother plant. One may reasonably assume that if southern flounder is a flatfish, then flowers are alive even when excised from the mother plant.",The statement that states flowers are alive even when excised from the mother plant is right.,The statement that 'flowers are alive even when excised from the mother plant' is incorrect.,FALSE,"Disjunction Elimination: 
Either (Either [1] or [2].) or [3]. 
If (Either [1] or [2].), then [0]. 
If [3], then [0]. 
Therefore, [0].","{0: 'Flowers are alive even when excised from the mother plant.', 1: 'Managers have (part) nuclei.', 2: 'Mouths are part of bells.', 3: 'Southern flounder is a flatfish.'}",1
871,"['When it is a common misconception that either male ermines are significantly bigger than the females or netting can reduce deer damage to small trees is true, it follows that cigarettes are objects meant to be smoked.', 'Assuming it is a common misconception that either male ermines are significantly bigger than the females or netting can reduce deer damage to small trees, we know that the statement, cigarettes are objects meant to be smoked, does not hold.']","When it is a common misconception that either male ermines are significantly bigger than the females or netting can reduce deer damage to small trees is true, it follows that cigarettes are objects meant to be smoked. Assuming it is a common misconception that either male ermines are significantly bigger than the females or netting can reduce deer damage to small trees, we know that the statement, cigarettes are objects meant to be smoked, does not hold.","At least one of two things is true: male ermines are significantly bigger than the females, or netting can reduce deer damage to small trees.","At least one of two things is true: male ermines are significantly bigger than the females, or netting can reduce deer damage to small trees.",TRUE,"Reductio Ad Absurdum: 
If (Not (Either [0] or [1].).), then [2]. 
If (Not (Either [0] or [1].).), then (Not [2].). 
Therefore, Either [0] or [1]..","{0: 'Male ermines are significantly bigger than the females.', 1: 'Netting can reduce deer damage to small trees.', 2: 'Cigarettes are objects meant to be smoked.'}",1
889,"['On the condition that either plants are compact with shiny green foliage or tobacco gives rise to cancer, it is definitely the case that the claim that potassium is essential for cell division and strong stems does not correspond with reality.', 'We know that at least one of two things is true: plants are compact with shiny green foliage, or tobacco gives rise to cancer.']","On the condition that either plants are compact with shiny green foliage or tobacco gives rise to cancer, it is definitely the case that the claim that potassium is essential for cell division and strong stems does not correspond with reality. We know that at least one of two things is true: plants are compact with shiny green foliage, or tobacco gives rise to cancer.",The claim that potassium is essential for cell division and strong stems does not correspond with reality.,Those that suggest potassium is an important plant nutrient for several reasons are wrong.,Uncertain,"Modus Ponens: 
If (Either [1] or [2].), then (Not [0].). 
Either [1] or [2]. 
Therefore, Not [0]..","{0: 'Potassium is essential for cell division and strong stems.', 1: 'Plants are compact with shiny green foliage.', 2: 'Tobacco gives rise to cancer.'}",1
772,"[""Whenever it is true that if an entry is a record, then c mediates experimental colitis in the rat, 'pelvic tilts improve posture and relieve backache and stiffness' is true."", 'The claim that pelvic tilts improve posture and relieve backache and stiffness does not correspond with reality.']","Whenever it is true that if an entry is a record, then c mediates experimental colitis in the rat, 'pelvic tilts improve posture and relieve backache and stiffness' is true. The claim that pelvic tilts improve posture and relieve backache and stiffness does not correspond with reality.","The statement that 'if an entry is a record, then c mediates experimental colitis in the rat' is incorrect.",The claim that entries have (part) sections does not reflect reality.,Uncertain,"Modus Tonens: 
If (If [0], then [1].), then [2]. 
Not [2]. 
Therefore, Not (If [0], then [1].)..","{0: 'An entry is a record.', 1: 'C mediates experimental colitis in the rat.', 2: 'Pelvic tilts improve posture and relieve backache and stiffness.'}",1
189,"['We know that either beta is a volatility measurement of stock price volatility compared to market index volatility or some people mistakenly believe that some acid prevents coronary diseases.', 'Some people mistakenly believe that beta is a volatility measurement of stock price volatility compared to market index volatility.']",We know that either beta is a volatility measurement of stock price volatility compared to market index volatility or some people mistakenly believe that some acid prevents coronary diseases. Some people mistakenly believe that beta is a volatility measurement of stock price volatility compared to market index volatility.,Some people mistakenly believe that some acid prevents coronary diseases.,The notion that 'acids are what they say they are and salt can be one of the most corrosive forces in nature' is untrue.,Uncertain,"Disjunctive Syllogism: 
Either [1] or (Not [0].). 
Not [1]. 
Therefore, Not [0]..","{0: 'Some acid prevents coronary diseases.', 1: 'Beta is a volatility measurement of stock price volatility compared to market index volatility.'}",1
136,"['We know that at least one of two things is true: anthrax is suspected of being responsible for a spate of deaths among heroin addicts in Europe, or most juniper grows in zones.', 'Once we know anthrax is suspected of being responsible for a spate of deaths among heroin addicts in Europe, we also know that concentration is the prime and sole element of strength.', 'Given that most juniper grows in zones, it can be inferred that concentration is the prime and sole element of strength.']","We know that at least one of two things is true: anthrax is suspected of being responsible for a spate of deaths among heroin addicts in Europe, or most juniper grows in zones. Once we know anthrax is suspected of being responsible for a spate of deaths among heroin addicts in Europe, we also know that concentration is the prime and sole element of strength. Given that most juniper grows in zones, it can be inferred that concentration is the prime and sole element of strength.",It is a simple truth that concentration is the prime and sole element of strength.,It is a simple truth that concentration is the prime and sole element of strength.,TRUE,"Disjunction Elimination: 
Either [1] or [2]. 
If [1], then [0]. 
If [2], then [0]. 
Therefore, [0].","{0: 'Concentration is the prime and sole element of strength.', 1: 'Anthrax is suspected of being responsible for a spate of deaths among heroin addicts in Europe.', 2: 'Most juniper grows in zones.'}",1
446,"['Either one or both of these statements are true: either jungles vary tremendously from one place to another or hogs seem to prefer acorns over grain and other baits, or bored wells are shallow wells that tap into groundwater beneath the soil.', 'The claim that either jungles vary tremendously from one place to another or hogs seem to prefer acorns over grain and other baits is false.']","Either one or both of these statements are true: either jungles vary tremendously from one place to another or hogs seem to prefer acorns over grain and other baits, or bored wells are shallow wells that tap into groundwater beneath the soil. The claim that either jungles vary tremendously from one place to another or hogs seem to prefer acorns over grain and other baits is false.",It is a simple truth that bored wells are shallow wells that tap into groundwater beneath the soil.,We know that the claim that bored wells are shallow wells that tap into groundwater beneath the soil is false.,FALSE,"Disjunctive Syllogism: 
Either (Either [1] or [2].) or [0]. 
Not (Either [1] or [2].). 
Therefore, [0].","{0: 'Bored wells are shallow wells that tap into groundwater beneath the soil.', 1: 'Jungles vary tremendously from one place to another.', 2: 'Hogs seem to prefer acorns over grain and other baits.'}",1
839,"['One may reasonably assume that if if terrorism is designed to frighten and demoralize, then papillons are terriers, then it is not true that coordinates Generate coordinate pairs that satisfy a simple linear rule.', 'When terrorism is designed to frighten and demoralize is true, it follows that papillons are terriers.']","One may reasonably assume that if if terrorism is designed to frighten and demoralize, then papillons are terriers, then it is not true that coordinates Generate coordinate pairs that satisfy a simple linear rule. When terrorism is designed to frighten and demoralize is true, it follows that papillons are terriers.",It is not true that coordinates Generate coordinate pairs that satisfy a simple linear rule.,The statement 'coordinates Generate coordinate pairs that satisfy a simple linear rule' is true.,FALSE,"Modus Ponens: 
If (If [1], then [2].), then (Not [0].). 
If [1], then [2]. 
Therefore, Not [0]..","{0: 'Coordinates Generate coordinate pairs that satisfy a simple linear rule.', 1: 'Terrorism is designed to frighten and demoralize.', 2: 'Papillons are terriers.'}",1
254,"['Either macrophages are large cells that surround and digest foreign substances in the body or scrotal temperature is a few degrees lower than internal body temperature.', 'One may reasonably assume that if macrophages are large cells that surround and digest foreign substances in the body, then it is not the case that human settlements are the largest, most complicated technology ever created by human beings.', ""So long as scrotal temperature is a few degrees lower than internal body temperature, 'it is not the case that human settlements are the largest, most complicated technology ever created by human beings' is true.""]","Either macrophages are large cells that surround and digest foreign substances in the body or scrotal temperature is a few degrees lower than internal body temperature. One may reasonably assume that if macrophages are large cells that surround and digest foreign substances in the body, then it is not the case that human settlements are the largest, most complicated technology ever created by human beings. So long as scrotal temperature is a few degrees lower than internal body temperature, 'it is not the case that human settlements are the largest, most complicated technology ever created by human beings' is true.","It is not the case that human settlements are the largest, most complicated technology ever created by human beings.","It is not the case that human settlements are the largest, most complicated technology ever created by human beings.",TRUE,"Disjunction Elimination: 
Either [1] or [2]. 
If [1], then (Not [0].). 
If [2], then (Not [0].). 
Therefore, Not [0]..","{0: 'Human settlements are the largest, most complicated technology ever created by human beings.', 1: 'Macrophages are large cells that surround and digest foreign substances in the body.', 2: 'Scrotal temperature is a few degrees lower than internal body temperature.'}",1
881,"['It is a fact that either every kidney has about a million nephrons or dopamine is one of several such chemical transmitters found in the brain.', 'If every kidney has about a million nephrons, then vertical exchanges enable electronic commerce within a specific industry.', ""Whenever it is true that dopamine is one of several such chemical transmitters found in the brain, 'vertical exchanges enable electronic commerce within a specific industry' is true.""]","It is a fact that either every kidney has about a million nephrons or dopamine is one of several such chemical transmitters found in the brain. If every kidney has about a million nephrons, then vertical exchanges enable electronic commerce within a specific industry. Whenever it is true that dopamine is one of several such chemical transmitters found in the brain, 'vertical exchanges enable electronic commerce within a specific industry' is true.",The claim that vertical exchanges enable electronic commerce within a specific industry holds true.,We know that the claim that vertical exchanges enable electronic commerce within a specific industry is false.,FALSE,"Disjunction Elimination: 
Either [1] or [2]. 
If [1], then [0]. 
If [2], then [0]. 
Therefore, [0].","{0: 'Vertical exchanges enable electronic commerce within a specific industry.', 1: 'Every kidney has about a million nephrons.', 2: 'Dopamine is one of several such chemical transmitters found in the brain.'}",1
290,"['At least one of two things is true: procedures involve use, or heat units estimate the amount of heat energy that is available to fuel plant growth.', 'Given that procedures involve use, it can be inferred that either funks are depressions or breathing is slowed, stopped, or irregular and if they are unconscious, they are difficult to wake.', ""So long as heat units estimate the amount of heat energy that is available to fuel plant growth, 'either funks are depressions or breathing is slowed, stopped, or irregular and if they are unconscious, they are difficult to wake' is true.""]","At least one of two things is true: procedures involve use, or heat units estimate the amount of heat energy that is available to fuel plant growth. Given that procedures involve use, it can be inferred that either funks are depressions or breathing is slowed, stopped, or irregular and if they are unconscious, they are difficult to wake. So long as heat units estimate the amount of heat energy that is available to fuel plant growth, 'either funks are depressions or breathing is slowed, stopped, or irregular and if they are unconscious, they are difficult to wake' is true.","Either one or both of these statements are true: funks are depressions, or breathing is slowed, stopped, or irregular and if they are unconscious, they are difficult to wake.","We know that either funks are jazz or breathing becomes deeper, sending oxygen-enriched blood and nutrients throughout the body.",Uncertain,"Disjunction Elimination: 
Either [2] or [3]. 
If [2], then (Either [0] or [1].). 
If [3], then (Either [0] or [1].). 
Therefore, Either [0] or [1]..","{0: 'Funks are depressions.', 1: 'Breathing is slowed, stopped, or irregular and if they are unconscious, they are difficult to wake.', 2: 'Procedures involve use.', 3: 'Heat units estimate the amount of heat energy that is available to fuel plant growth.'}",1
941,"['We know that either depression is a serious illnesses or either some talons are part of dodos or intentional injuries are the result of acts of violence such as suicide attempts, rape and assaults.', ""The statement that 'depression is a serious illnesses' is incorrect.""]","We know that either depression is a serious illnesses or either some talons are part of dodos or intentional injuries are the result of acts of violence such as suicide attempts, rape and assaults. The statement that 'depression is a serious illnesses' is incorrect.","We know that either some talons are part of dodos or intentional injuries are the result of acts of violence such as suicide attempts, rape and assaults.","We know that either some talons are part of dodos or intentional injuries are the result of acts of violence such as suicide attempts, rape and assaults.",TRUE,"Disjunctive Syllogism: 
Either [2] or (Either [0] or [1].). 
Not [2]. 
Therefore, Either [0] or [1]..","{0: 'Some talons are part of dodos.', 1: 'Intentional injuries are the result of acts of violence such as suicide attempts, rape and assaults.', 2: 'Depression is a serious illnesses.'}",1
954,"['We know that either most evergreen trees reach height or biotechnology also applies to non-food uses in significant ways.', 'The statement that states most evergreen trees reach height is false.']",We know that either most evergreen trees reach height or biotechnology also applies to non-food uses in significant ways. The statement that states most evergreen trees reach height is false.,The statement that states biotechnology also applies to non-food uses in significant ways is right.,The statement that states biotechnology also applies to non-food uses in significant ways is right.,TRUE,"Disjunctive Syllogism: 
Either [1] or [0]. 
Not [1]. 
Therefore, [0].","{0: 'Biotechnology also applies to non-food uses in significant ways.', 1: 'Most evergreen trees reach height.'}",1
232,"['Assuming some people mistakenly believe that either dark trajectories are part of the crystal and light are in the fluid or frogs live in oceans, we know that makers have (part) sections.', 'It is not true that makers have (part) sections.']","Assuming some people mistakenly believe that either dark trajectories are part of the crystal and light are in the fluid or frogs live in oceans, we know that makers have (part) sections. It is not true that makers have (part) sections.",It is a fact that either dark trajectories are part of the crystal and light are in the fluid or frogs live in oceans.,The notion that 'either dark trajectories are part of the crystal and light are in the fluid or frogs live in oceans' is untrue.,FALSE,"Modus Tonens: 
If (Not (Either [0] or [1].).), then [2]. 
Not [2]. 
Therefore, Either [0] or [1]..","{0: 'Dark trajectories are part of the crystal and light are in the fluid.', 1: 'Frogs live in oceans.', 2: 'Makers have (part) sections.'}",1
645,"['There is good reason to believe that either either evolutionists point to the dinosaurs as outstanding evidence of evolution or cattle has-part throats or we know that the claim that screech owls begin nesting in late winter is false.', 'Those that suggest either evolutionists point to the dinosaurs as outstanding evidence of evolution or cattle has-part throats are wrong.']",There is good reason to believe that either either evolutionists point to the dinosaurs as outstanding evidence of evolution or cattle has-part throats or we know that the claim that screech owls begin nesting in late winter is false. Those that suggest either evolutionists point to the dinosaurs as outstanding evidence of evolution or cattle has-part throats are wrong.,We know that the claim that screech owls begin nesting in late winter is false.,We know that the claim that screech owls begin nesting in late winter is false.,TRUE,"Disjunctive Syllogism: 
Either (Either [1] or [2].) or (Not [0].). 
Not (Either [1] or [2].). 
Therefore, Not [0]..","{0: 'Screech owls begin nesting in late winter.', 1: 'Evolutionists point to the dinosaurs as outstanding evidence of evolution.', 2: 'Cattle has-part throats.'}",1
33,"[""So long as the statement that 'emissions increase with speed' is incorrect, 'either centralization determines which hierarchical levels have authority to make decisions or an eschar is a scab' is true."", 'It is not the case that either centralization determines which hierarchical levels have authority to make decisions or an eschar is a scab.']","So long as the statement that 'emissions increase with speed' is incorrect, 'either centralization determines which hierarchical levels have authority to make decisions or an eschar is a scab' is true. It is not the case that either centralization determines which hierarchical levels have authority to make decisions or an eschar is a scab.",It is true that emissions increase with speed.,"Emissions interact in the environment - with the air, sunlight, and other chemicals.",Uncertain,"Modus Tonens: 
If (Not [0].), then (Either [1] or [2].). 
Not (Either [1] or [2].). 
Therefore, [0].","{0: 'Emissions increase with speed.', 1: 'Centralization determines which hierarchical levels have authority to make decisions.', 2: 'An eschar is a scab.'}",1
88,"['On the condition that those that suggest children are created by parents are wrong, it is definitely the case that plants grow from small tubers, in some species producing a rosette of leaves.', 'The claim that plants grow from small tubers, in some species producing a rosette of leaves does not reflect reality.']","On the condition that those that suggest children are created by parents are wrong, it is definitely the case that plants grow from small tubers, in some species producing a rosette of leaves. The claim that plants grow from small tubers, in some species producing a rosette of leaves does not reflect reality.",It is the case that children are created by parents.,Most children describe shapes.,Uncertain,"Modus Tonens: 
If (Not [0].), then [1]. 
Not [1]. 
Therefore, [0].","{0: 'Children are created by parents.', 1: 'Plants grow from small tubers, in some species producing a rosette of leaves.'}",1
44,"['One may reasonably assume that if the claim that consensus protocols improve cost does not correspond with reality, then a contemporary world is times.', ""Whenever it is true that the claim that consensus protocols improve cost does not correspond with reality, 'the claim that a contemporary world is times is false' is true.""]","One may reasonably assume that if the claim that consensus protocols improve cost does not correspond with reality, then a contemporary world is times. Whenever it is true that the claim that consensus protocols improve cost does not correspond with reality, 'the claim that a contemporary world is times is false' is true.",It is the case that consensus protocols improve cost.,Mercury therefore bakes and freezes at the same time.,Uncertain,"Reductio Ad Absurdum: 
If (Not [0].), then [1]. 
If (Not [0].), then (Not [1].). 
Therefore, [0].","{0: 'Consensus protocols improve cost.', 1: 'A contemporary world is times.'}",1
341,"[""At least one of two things is true: if amoebas use binary fission, then kidneys control excretion, or the statement 'cicadas have (part) cells' can be considered false."", 'The statement that states if amoebas use binary fission, then kidneys control excretion is false.']","At least one of two things is true: if amoebas use binary fission, then kidneys control excretion, or the statement 'cicadas have (part) cells' can be considered false. The statement that states if amoebas use binary fission, then kidneys control excretion is false.",The statement 'cicadas have (part) cells' can be considered false.,"The statement, some cicadas live up to months, does not hold.",Uncertain,"Disjunctive Syllogism: 
Either (If [1], then [2].) or (Not [0].). 
Not (If [1], then [2].). 
Therefore, Not [0]..","{0: 'Cicadas have (part) cells.', 1: 'Amoebas use binary fission.', 2: 'Kidneys control excretion.'}",1
61,"[""So long as australian investment is mainly in the manufacturing sector, 'the statement that 'all children are apt to fondle their genitals, girls as well as boys' is incorrect' is true."", 'The claim that australian investment is mainly in the manufacturing sector is true.']","So long as australian investment is mainly in the manufacturing sector, 'the statement that 'all children are apt to fondle their genitals, girls as well as boys' is incorrect' is true. The claim that australian investment is mainly in the manufacturing sector is true.","The statement that 'all children are apt to fondle their genitals, girls as well as boys' is incorrect.",Some people mistakenly believe that every child needs to develop skills for interacting with others of different ages and backgrounds.,Uncertain,"Modus Ponens: 
If [1], then (Not [0].). 
[1] 
Therefore, Not [0]..","{0: 'All children are apt to fondle their genitals, girls as well as boys.', 1: 'Australian investment is mainly in the manufacturing sector.'}",1
953,"['Either one or both of these statements are true: either wind greatly speeds up the process of body heat loss or outlets have differences, or job sharing is a philosophical approach to work and life.', 'If either wind greatly speeds up the process of body heat loss or outlets have differences, then parent involvement is the active role parents accept in the education of their children and youth.', 'One may reasonably assume that if job sharing is a philosophical approach to work and life, then parent involvement is the active role parents accept in the education of their children and youth.']","Either one or both of these statements are true: either wind greatly speeds up the process of body heat loss or outlets have differences, or job sharing is a philosophical approach to work and life. If either wind greatly speeds up the process of body heat loss or outlets have differences, then parent involvement is the active role parents accept in the education of their children and youth. One may reasonably assume that if job sharing is a philosophical approach to work and life, then parent involvement is the active role parents accept in the education of their children and youth.",It is rational to agree that parent involvement is the active role parents accept in the education of their children and youth.,Parent involvement is key to a child's success.,Uncertain,"Disjunction Elimination: 
Either (Either [1] or [2].) or [3]. 
If (Either [1] or [2].), then [0]. 
If [3], then [0]. 
Therefore, [0].","{0: 'Parent involvement is the active role parents accept in the education of their children and youth.', 1: 'Wind greatly speeds up the process of body heat loss.', 2: 'Outlets have differences.', 3: 'Job sharing is a philosophical approach to work and life.'}",1
199,"['It is a fact that either fiber carries bile and fat out of the body or lysine is available in health food stores.', ""So long as fiber carries bile and fat out of the body, 'it is not the case that robins build an open cup nest on a horizontal limb or in the main crotch of a tree' is true."", 'One may reasonably assume that if lysine is available in health food stores, then it is not the case that robins build an open cup nest on a horizontal limb or in the main crotch of a tree.']","It is a fact that either fiber carries bile and fat out of the body or lysine is available in health food stores. So long as fiber carries bile and fat out of the body, 'it is not the case that robins build an open cup nest on a horizontal limb or in the main crotch of a tree' is true. One may reasonably assume that if lysine is available in health food stores, then it is not the case that robins build an open cup nest on a horizontal limb or in the main crotch of a tree.",It is not the case that robins build an open cup nest on a horizontal limb or in the main crotch of a tree.,It is a simple truth that robins build an open cup nest on a horizontal limb or in the main crotch of a tree.,FALSE,"Disjunction Elimination: 
Either [1] or [2]. 
If [1], then (Not [0].). 
If [2], then (Not [0].). 
Therefore, Not [0]..","{0: 'Robins build an open cup nest on a horizontal limb or in the main crotch of a tree.', 1: 'Fiber carries bile and fat out of the body.', 2: 'Lysine is available in health food stores.'}",1
